Rat_ID,Cohort,presses_first_block,Treatment
LSDB01,Cohort1,K,Saline
LSDB02,Cohort1,K,Saline
LSDB03,Cohort1,K,Saline
LSDB04,Cohort1,K,Saline
LSDB05,Cohort1,K,Saline
LSDB06,Cohort1,K,Saline
LSDB07,Cohort1,K,Saline
LSDB08,Cohort1,K,Saline
LSDB09,Cohort2,I,LSD
LSDB10,Cohort2,I,LSD
LSDB11,Cohort2,I,Saline
LSDB12,Cohort2,I,LSD
LSDB13,Cohort2,I,LSD
LSDB14,Cohort2,I,LSD
LSDB15,Cohort2,I,Saline
LSDB16,Cohort2,I,LSD
LSDB17,Cohort2,I,LSD
LSDB18,Cohort2,I,LSD
LSDB19,Cohort2,I,LSD
LSDB20,Cohort2,I,Saline